"School.Name","County","School.Code","School.ID","County.Number","FIPS.State.Code","ZIP","Address","City","State","Longitude","Latitude","Total.Students","Free.Lunch","Reduced.price.Lunch","Total.Free.and.Reduced.Lunch","Full.Time.Equivalent.Teachers","Pupil.Teacher.Ratio"
"A G COX MIDDLE","PITT COUNTY","740302",3.70001e+11,37147,37,28590,"2657 CHURCH ST","WINTERVILLE","NC ",-77.4011,35.5245,841,311,43,354,47.05,17.87
"A H SNIPES ACADEMY OF ARTS/DES","NEW HANOVER COUNTY","650384",3.70333e+11,37129,37,28405,"2150 CHESTNUT ST","WILMINGTON","NC ",-77.9203,34.2396,485,452,21,473,43.08,11.26
"A L BROWN HIGH","CABARRUS COUNTY","132304",3.70243e+11,37025,37,28083,"415 EAST 1ST ST","KANNAPOLIS","NC ",-80.6186,35.4963,1409,738,90,828,97.92,14.39
"A L STANBACK MIDDLE","ORANGE COUNTY","680304",3.70348e+11,37135,37,27278,"3700 NC 86 SOUTH","HILLSBOROUGH","NC ",-79.0779,36.0271,632,263,35,298,51,12.39
"A T ALLEN ELEMENTARY","CABARRUS COUNTY","130304",3.70053e+11,37025,37,28025,"3939 ABILENE RD","CONCORD","NC ",-80.5137,35.3627,873,455,103,558,53.77,16.24
"A.C.E. ACADEMY","CABARRUS COUNTY","13C000",3.70037e+11,37025,37,28075,"TBD","TBD","NC ",-80.6731,35.3084,NA,NA,NA,NA,NA,NA
"ABERDEEN ELEMENTARY","MOORE COUNTY","630308",3.70309e+11,37125,37,28315,"503 SANDHILLS BLVD NORTH","ABERDEEN","NC ",-79.426,35.1397,315,225,18,243,18.31,17.2
"ABERDEEN PRIMARY","MOORE COUNTY","630304",3.70309e+11,37125,37,28315,"310 KEYSER ST","ABERDEEN","NC ",-79.4231,35.1244,320,239,21,260,24.36,13.14
"ACME DELCO ELEMENTARY","COLUMBUS COUNTY","240308",3.70096e+11,37047,37,28456,"16337 OLD LAKE RD","RIEGELWOOD","NC ",-78.2546,34.3475,327,238,30,268,22,14.86
"ACME DELCO MIDDLE","COLUMBUS COUNTY","240304",3.70096e+11,37047,37,28436,"26133 ANDREW JACKSON HWY","DELCO","NC ",-78.2164,34.3158,155,106,13,119,10.5,14.76
"ADAMS ELEMENTARY","WAKE COUNTY","920304",3.70472e+11,37183,37,27511,"805 CARY TOWNE BLVD","CARY","NC ",-78.7622,35.7769,780,259,38,297,57.5,13.57
"AHOSKIE ELEMENTARY","HERTFORD COUNTY","460308",3.70216e+11,37091,37,27910,"200 NORTH TALMAGE ST","AHOSKIE","NC ",-76.9948,36.2916,531,398,36,434,30,17.7
"ALAMANCE-BURLINGTON MIDDLE COLLEGE","ALAMANCE COUNTY","010303",3.70003e+11,37001,37,27253,"1247 JIMMIE KERR RD","GRAHAM","NC ",-79.3577,36.0665,74,38,1,39,5,14.8
"ALAMANCE ELEMENTARY","GUILFORD COUNTY","410304",3.70192e+11,37081,37,27406,"3600 WILLIAMS DAIRY RD","GREENSBORO","NC ",-79.7088,36.0148,821,334,68,402,50.41,16.29
"ALBEMARLE HIGH","STANLY COUNTY","840302",3.70432e+11,37167,37,28001,"311 PARK RIDGE RD","ALBEMARLE","NC ",-80.1932,35.3713,433,272,28,300,33.56,12.9
"ALBEMARLE MIDDLE","STANLY COUNTY","840303",3.70432e+11,37167,37,28001,"1811 BADIN RD","ALBEMARLE","NC ",-80.1684,35.3537,428,295,42,337,32.28,13.26
"ALBEMARLE ROAD ELEMENTARY","MECKLENBURG COUNTY","600300",3.70297e+11,37119,37,28212,"7800 RIDING TRAIL RD","CHARLOTTE","NC ",-80.7295,35.1971,1211,1058,59,1117,78.74,15.38
"ALBEMARLE ROAD MIDDLE","MECKLENBURG COUNTY","600301",3.70297e+11,37119,37,28212,"6900 DEMOCRACY DR","CHARLOTTE","NC ",-80.7288,35.1986,1158,928,80,1008,69.62,16.63
"ALBERT H BANGERT ELEMENTARY","CRAVEN COUNTY","250304",3.70331e+11,37049,37,28562,"3712 CANTERBURY RD","NEW BERN","NC ",-77.0834,35.0832,350,191,16,207,25.5,13.73
"ALDERMAN ROAD ELEMENTARY","CUMBERLAND COUNTY","260364",3.70001e+11,37051,37,28306,"2860 ALDERMAN RD","FAYETTEVILLE","NC ",-78.8603,34.8952,617,339,55,394,46.47,13.28
"ALEXANDER CENTRAL HIGH","ALEXANDER COUNTY","020302",3.70009e+11,37003,37,28681,"223 SCHOOL DR","TAYLORSVILLE","NC ",-81.1889,35.9168,1615,581,147,728,97.24,16.61
"ALEXANDER GRAHAM MIDDLE","MECKLENBURG COUNTY","600399",3.70297e+11,37119,37,28211,"1800 RUNNYMEDE LN","CHARLOTTE","NC ",-80.8321,35.1667,1448,461,37,498,75.65,19.14
"ALEXANDER WILSON ELEMENTARY","ALAMANCE COUNTY","010304",3.70003e+11,37001,37,27253,"2518 NC 54","GRAHAM","NC ",-79.347,36.0291,539,229,30,259,33.54,16.07
"ALGER B. WILKINS HIGH SCHOOL PLC","CUMBERLAND COUNTY","260374",3.70001e+11,37051,37,28303,"1429 SKIBO RD","FAYETTEVILLE","NC ",-78.9519,35.0825,162,116,5,121,10.5,15.43
