"LEA.Name","School.Code","School.Name","SBE.Region","SPG.Grade","SPG.Score","Reading.SPG.Grade","Reading..SPG.Score","Math.SPG.Grade","Math.SPG.Score","EVAAS.Growth.Status","EVAAS.Growth.Score","Overall.Achievement.Score.99","Read.Score.99","Math.Score.99","Science.Score.99","Math.I.Score.99","English.II.Score.99","Biology.Score.99","The.ACT.Score.99","ACT.WorkKeys.Score.99","Math.Course.Rigor.Score.99","Cohort.Grad.Rate.Std.Score.99"
"Durham Public Schools","320304","Bethesda Elementary",3,"D",49,"D",43,"D",48,"Exceeded",85.5,40,35,38,60,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320306","Brogden Middle",3,"D",41,"D",44,"F",33,"NotMet",68.4,35,36,24,54,93,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320308","Burton Elementary",3,"D",50,"D",44,"D",48,"Exceeded",87,40,34,38,67,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320309","J D Clement Early College HS",3,"A",91,"",NA,"",NA,"Exceeded",98.3,89,NA,NA,NA,86,81,71,85,NA,99,99
"Durham Public Schools","320310","Eastway Elementary",3,"F",26,"F",25,"F",27,"NotMet",58.5,18,15,18,29,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320312","C E Jordan High",3,"B",71,"",NA,"",NA,"Exceeded",87.5,67,NA,NA,NA,43,63,60,59,82,99,86
"Durham Public Schools","320313","Easley Elementary",3,"C",65,"B",70,"C",64,"Met",71,63,68,59,60,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320314","The School for Creative Studies",3,"C",55,"C",60,"D",54,"Exceeded",91.2,46,52,44,NA,35,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320315","Eno Valley Elementary",3,"F",38,"F",34,"D",41,"NotMet",65.9,31,25,33,42,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320316","George L Carrington Middle",3,"D",52,"D",45,"D",45,"Met",84.6,44,41,33,68,92,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320317","City of Medicine Academy",3,"B",82,"",NA,"",NA,"Exceeded",92.1,80,NA,NA,NA,59,83,NA,58,79,99,99
"Durham Public Schools","320318","Club Boulevard Elementary",3,"D",53,"C",55,"D",48,"Exceeded",87.2,44,48,38,51,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320319","Creekside Elementary",3,"C",66,"C",64,"C",65,"Exceeded",85.6,61,58,62,65,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320320","Glenn Elementary",3,"D",40,"F",35,"D",41,"NotMet",69.6,33,26,35,49,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320322","Durham's Performance Learning Center",3,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320323","Durham School of the Arts",3,"B",78,"B",72,"C",65,"Exceeded",100,73,69,59,85,64,87,66,82,92,90,95
"Durham Public Schools","320324","Hillandale Elementary",3,"C",61,"C",60,"C",63,"Exceeded",85.6,55,54,56,52,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320325","Hillside High",3,"C",61,"",NA,"",NA,"Exceeded",89.4,54,NA,NA,NA,24,44,39,38,50,94,88
"Durham Public Schools","320327","Hope Valley Elementary",3,"C",62,"C",59,"C",61,"Exceeded",95.7,54,51,53,63,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320328","Holt Elementary",3,"C",59,"D",53,"C",58,"Exceeded",91.1,52,45,50,73,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320329","Holton Career and Resource Center",3,"I",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320332","Forest View Elementary",3,"C",63,"C",59,"C",64,"Met",83.8,58,55,59,62,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320336","DPS Hospital School",3,"F",6,"F",8,"F",0,"",NA,6,8,1,11,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320338","James E Shepard Middle",3,"F",37,"D",42,"F",30,"NotMet",55.3,32,36,23,44,71,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320339","Lakewood Elementary",3,"D",43,"F",34,"D",49,"Met",80.6,33,26,39,39,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320340","Little River Elementary",3,"C",68,"B",72,"C",66,"Met",70.9,67,69,67,62,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320341","Lakeview School",3,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320342","Lakewood Montessori Middle",3,"C",55,"C",63,"D",42,"NotMet",67.2,52,58,37,68,91,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320343","Lucas Middle",3,"D",45,"D",51,"F",37,"NotMet",62.1,41,44,31,58,92,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320344","Fayetteville Street Elementary",3,"F",38,"F",35,"D",41,"Met",84.6,26,23,29,27,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320346","Lowe's Grove Middle",3,"F",32,"F",39,"F",23,"NotMet",54.9,26,29,17,43,67,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320347","George Watts Elementary",3,"C",65,"C",67,"C",64,"Met",78.7,62,64,59,63,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320348","Mangum Elementary",3,"B",78,"B",76,"B",77,"Exceeded",88.8,75,73,75,80,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320352","Merrick-Moore Elementary",3,"F",37,"D",40,"F",34,"Met",70.8,28,30,25,33,NA,NA,NA,NA,NA,NA,NA
"Durham Public Schools","320353","Middle College HS @ DTCC",3,"A",92,"",NA,"",NA,"",NA,92,NA,NA,NA,NA,NA,NA,79,NA,99,99
