"LEA.Name","School.Code","School.Name","SBE.District","SPG.Grade","SPG.Score","Reading.SPG.Grade","Reading..SPG.Score","Math.SPG.Grade","Math.SPG.Score","EVAAS.Growth.Status","EVAAS.Growth.Score","Overall.Achievement.Score.99","Read.Score.99","Math.Score.99","Science.Score.99","Math.I.Score.99","English.II.Score.99","Biology.Score.99","The.ACT.Score.99","ACT.WorkKeys.Score.99","Math.Course.Rigor.Score.99","Cohort.Grad.Rate.Std.Score.99","State.Gap.Compared"
"Durham Public Schools","320304","Bethesda Elementary","North Central","D",45,"D",42,"D",41,"Met",71.1,39,35,34,72,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320306","Brogden Middle","North Central","D",44,"D",43,"F",39,"Exceeded",87.1,33,34,26,51,99,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320308","Burton Elementary","North Central","D",52,"D",44,"D",51,"Exceeded",92.4,42,34,41,68,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320309","J D Clement Early College HS","North Central","A+NG",92,"",NA,"",NA,"Exceeded",96.4,90,NA,NA,NA,89,88,86,80,NA,99,99,"Y"
"Durham Public Schools","320310","Eastway Elementary","North Central","F",33,"F",32,"F",29,"Met",78.6,22,20,18,41,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320312","C E Jordan High","North Central","C",68,"",NA,"",NA,"Exceeded",89.1,63,NA,NA,NA,38,61,56,59,70,99,80,""
"Durham Public Schools","320313","Easley Elementary","North Central","C",64,"C",69,"C",58,"NotMet",68,63,67,57,71,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320314","The School for Creative Studies","North Central","C",55,"C",57,"D",52,"Met",79.8,48,51,43,49,28,69,68,NA,NA,NA,NA,""
"Durham Public Schools","320315","Eno Valley Elementary","North Central","F",37,"F",38,"F",35,"Met",72.3,28,26,27,36,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320316","George L Carrington Middle","North Central","D",52,"D",48,"D",48,"Exceeded",88.7,42,39,38,62,99,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320317","City of Medicine Academy","North Central","A+NG",85,"",NA,"",NA,"Exceeded",99.5,81,NA,NA,NA,71,78,72,77,79,99,99,"Y"
"Durham Public Schools","320318","Club Boulevard Elementary","North Central","D",53,"C",55,"D",51,"Met",80.4,46,49,42,46,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320319","Creekside Elementary","North Central","C",66,"C",63,"C",69,"Met",81.4,63,59,66,64,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320320","Glenn Elementary","North Central","F",39,"F",38,"F",35,"Met",76.4,29,26,29,41,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320322","Durham's Performance Learning Center","North Central","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320323","Durham School of the Arts","North Central","B",81,"B",72,"B",71,"Exceeded",100,77,69,65,87,71,85,76,79,93,93,99,""
"Durham Public Schools","320324","Hillandale Elementary","North Central","C",58,"C",62,"D",52,"Met",73.5,54,57,49,58,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320325","Hillside High","North Central","C",65,"",NA,"",NA,"Exceeded",88.5,60,NA,NA,NA,42,44,33,36,64,94,91,""
"Durham Public Schools","320327","Hope Valley Elementary","North Central","C",59,"C",56,"C",56,"Exceeded",90.5,51,49,47,67,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320328","Holt Elementary","North Central","D",53,"D",43,"D",54,"Exceeded",88.3,44,33,46,77,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320329","Holton Career and Resource Center","North Central","I",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320332","Forest View Elementary","North Central","C",69,"C",67,"C",69,"Exceeded",89.8,63,63,64,64,NA,NA,NA,NA,NA,NA,NA,""
"Durham Public Schools","320336","DPS Hospital School","North Central","F",0,"F",0,"F",0,"",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,""
