"LEA.Name","School.Code","School.Name","SBE.District","SPG.Grade","SPG.Score","Reading.SPG.Grade","Reading..SPG.Score","Math.SPG.Grade","Math.SPG.Score","EVAAS.Growth.Status","EVAAS.Growth.Score","Overall.Achievement.Score.99","Read.Score.99","Math.Score.99","Science.Score.99","Math.I.Score.99","English.II.Score.99","Biology.Score.99","The.ACT.Score.99","ACT.WorkKeys.Score.99","Math.Course.Rigor.Score.99","Cohort.Grad.Rate.Std.Score.99","State.Gap.Compared"
"Alamance-Burlington Schools","010303","Alamance-Burlington Middle College","Piedmont-Triad","A",86,"",NA,"",NA,"",NA,86,NA,NA,NA,NA,NA,43,69,75,99,95,"N"
"Alamance-Burlington Schools","010304","Alexander Wilson Elementary","Piedmont-Triad","C",69,"C",66,"C",67,"Exceeded",92,63,61,61,80,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010308","Altamahaw Ossipee Elem","Piedmont-Triad","C",69,"C",66,"B",73,"Met",72.5,68,63,72,72,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010310","Broadview Middle","Piedmont-Triad","D",45,"D",46,"F",35,"Exceeded",89.8,34,34,24,54,81,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010311","Career Technical Education Center","Piedmont-Triad","I",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010312","Highland Elementary","Piedmont-Triad","B",74,"B",75,"B",71,"Exceeded",86.3,71,73,68,73,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010320","E M Yoder Elementary","Piedmont-Triad","B",73,"B",72,"B",73,"Exceeded",91.5,68,69,68,67,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010324","Eastern Alamance High","Piedmont-Triad","C",66,"",NA,"",NA,"Met",73.1,64,NA,NA,NA,54,54,54,57,82,85,85,""
"Alamance-Burlington Schools","010326","Eastlawn Elementary","Piedmont-Triad","F",31,"F",33,"F",33,"NotMet",69.1,22,23,21,18,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010328","Edwin M Holt Elementary","Piedmont-Triad","C",62,"C",67,"C",61,"NotMet",68.5,60,63,61,50,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010340","Elon Elementary","Piedmont-Triad","C",60,"C",65,"D",52,"Met",79.2,55,60,48,60,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010346","B Everett Jordan Elem","Piedmont-Triad","C",58,"C",61,"C",55,"Met",74.9,54,56,50,58,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010347","Garrett Elementary","Piedmont-Triad","C",63,"C",61,"C",66,"Met",72.4,61,58,63,64,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010348","Graham High","Piedmont-Triad","D",50,"",NA,"",NA,"NotMet",55.7,49,NA,NA,NA,39,35,23,27,73,99,80,""
"Alamance-Burlington Schools","010350","Graham Middle","Piedmont-Triad","D",43,"D",42,"F",34,"Met",80.6,33,33,24,52,99,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010351","Grove Park Elementary","Piedmont-Triad","D",45,"D",48,"D",40,"Exceeded",85.1,35,39,29,41,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010353","Hawfields Middle","Piedmont-Triad","C",61,"C",59,"D",50,"Exceeded",90.3,54,53,42,85,99,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010354","Harvey R Newlin Elementary","Piedmont-Triad","D",40,"D",40,"F",38,"Met",84.7,29,30,25,39,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010357","Haw River Elementary","Piedmont-Triad","D",42,"D",41,"D",43,"Met",80.3,32,31,33,36,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010358","Hillcrest Elementary","Piedmont-Triad","D",50,"D",53,"D",47,"Met",81.1,42,46,38,41,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010360","Hugh M Cummings High","Piedmont-Triad","C",60,"",NA,"",NA,"Exceeded",92.4,52,NA,NA,NA,36,42,45,31,70,83,70,""
"Alamance-Burlington Schools","010362","Marvin B Smith Elementary","Piedmont-Triad","B",75,"B",71,"B",74,"Met",82.5,73,69,72,85,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010364","North Graham Elementary","Piedmont-Triad","D",53,"D",52,"D",52,"Met",81.4,46,45,45,57,NA,NA,NA,NA,NA,NA,NA,""
"Alamance-Burlington Schools","010372","Pleasant Grove Elementary","Piedmont-Triad","C",60,"C",60,"C",58,"Exceeded",88.4,54,54,50,68,NA,NA,NA,NA,NA,NA,NA,""
